,smiles,tpsa
0,O=C([O-])C(CC1=c2cccc(O)c2=[NH+]C1)c1cccc(Br)c1,74.33
1,O=C(NCC(=O)N1CCN(c2ccccc2)CC1)c1ccc(Br)o1,65.79
2,CCNC(=O)NNC(=O)C[NH+]1CCCC1c1ccc(C)cc1,74.67
3,Cc1ccc(C2[NH2+]C(C)CCC2NS(=O)(=O)N2CCCC2)cc1,66.02
4,O=C(NI)C1CC(=O)N(c2ccccc2)C1,49.41
5,O=C(CN1C(=O)NC2(CCc3ccccc32)C1=O)NCc1ccco1,91.65
6,OC(CNCCOc1ccc(Cl)cc1)COc1ccccc1,50.72
7,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1cccc(F)c1)c1ccc(Br)cc1,64.68
8,CC1CCC[NH+](CCCNC(=O)Nc2ccccc2Cl)C1,45.57
9,CN(Cc1ccc(Cl)cc1)C(=O)c1cc(C[NH3+])cs1,47.95
10,OC(CNCCOc1ccc(Cl)cc1)COc1ccccc1,50.72
11,OCC[NH+](C1CCCCC1)C1CCOC2(CCOC2)C1,43.13000000000001
12,CC1C(C(=O)[O-])CC[NH+]1c1ccc(C(F)(F)F)cc1,44.56999999999999
13,O=C(O)COc1cccc(OCCNCC(O)COc2ccccc2)c1,97.25
14,COc1ccc(C2CCC[NH+](CCC(=O)Nc3cc(N)ccc3F)C2)cc1,68.79
15,CC(=O)NCC1CN(c2ccc(-n3cnc(C)n3)c(F)c2)C(=O)O1,89.35000000000001
16,C=CCN1C(N)=[NH+]CC1CC(C)(C)Cc1ccc(Cl)cc1,43.23
17,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCOCC3)c(F)c21,71.77000000000001
18,O=C(CN1CCN(c2ccccc2)CC1)Nc1nncs1,61.36000000000001
19,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(Br)cc2)CC1,65.78
20,CCCC(=O)Nc1ccc(Cl)c(NC(=O)C=CC(=O)[O-])c1,98.33
21,O=C([O-])COCCNc1[nH+]ccn1Cc1ccc(Cl)cc1,80.46000000000001
22,CC1(CCCc2cc(=O)oc3[nH]c(=O)[nH]c(=O)c23)CC1,95.93
23,CC(=O)NCC1CN(c2ccc(Br)cc2)C(=O)O1,58.64
24,CC1C[NH+]=C(N)N1CCOc1ccccc1,52.46000000000001
25,CCc1ccc(CN(C(=O)c2ccc(F)cc2O)C2CCS(=O)(=O)C2)s1,74.68
26,CCCCCNC(=O)N1Cc2[nH+]c[nH]c2CC1C(=O)[O-],102.4
27,CCC(C)NC(=O)CN1CCN(c2ccc(OC)cc2)C1=O,61.88
28,CN(Cc1ccccc1)S(=O)(=O)NCCC[NH+]1CCCC1,53.85
29,COCCN1C(=O)c2ccccc2C(C(=O)N2CCSCC2)C12CCCC2,49.85
30,CCNC(=O)NC(C)c1c(F)cccc1Cl,41.13
31,CN(CC1CCCCC1)C(=O)c1cn(C2C[NH2+]C2)nn1,67.63
32,O=C(C1CC(N2CCN(c3ccc(C(F)(F)F)cn3)CC2)CN1)N1CCC(F)(F)C1,51.71000000000001
33,O=C(CCN1CCN(C(=O)c2ccccc2)CC1)c1ccc(Br)cc1,40.620000000000005
34,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2F)CC1,65.78
35,CC(C)CCCc1cc(=O)oc2[nH]c(=O)[nH]c(=O)c12,95.93
36,CC(C)CCNC(=O)C1CCC(C[NH3+])O1,65.97
37,O=C([O-])C[NH+](Cc1ccc([N+](=O)[O-])o1)Cc1ccccc1Cl,100.85
38,CC(C)CCNC(=O)C1CCC(C[NH3+])O1,65.97
39,CC(=O)NCC1CN(c2ccc(N3CCN(Cc4ccc(Br)o4)CC3)c(F)c2)C(=O)O1,78.26
40,O=C(CN1CCN(Cc2ccccc2)CC1)Nc1ccccc1,35.580000000000005
41,CC(=O)NCC1CN(c2ccc(N3CCN(Cc4ccc(Cl)o4)CC3)c(F)c2)C(=O)O1,78.26
42,CC(C)C(CC(=O)N1CCN(C)CC1)Nc1ccnc2cc(Cl)ccc12,48.470000000000006
43,COC(C)c1noc(C[NH+]2CCCN(Cc3cn(C)nc3C)CC2)n1,73.65
44,O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4ccncc4)CC3)c(F)cc2c1=O,78.67
45,CN1CCN(c2ccc(NC=C3C(=O)NC(=O)c4ccc(-c5ccccc5)cc43)cc2)CC1,64.68
46,CCC1CSC(NC(C)COCc2ccc(Cl)cc2)=[NH+]1,35.23
47,CCC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,74.57
48,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2F)CC1,65.78
49,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(CO)CC3)c(F)c21,82.77000000000001
50,CC(C)(C[NH2+]CC([O-])C(F)(F)F)S(=O)(=O)c1ccccc1,73.81
51,CC1CCC([NH+](CCS)CC2CC2)CC1,4.44
52,CC(C)c1ccccc1N1CC2CCC[NH+]2CC1C,7.680000000000001
53,Cc1ccc(S(=O)(=O)CCOC2CCCC([NH3+])C2)cc1,71.01
